protein1	protein2	combined_score
TNS3	PTK2	0.783
TNS3	SRC	0.817
TNS3	BCAR1	0.906
PTK2	ITGB1	0.997
SRC	ITGB1	0.986
ITGB1	BCAR1	0.914
ITGAV	ITGA8	0.733
ITGAV	TNXB	0.91
ITGAV	SDC1	0.924
ITGAV	ITGB3	0.999
ITGAV	ITGB6	0.999
ITGAV	ITGB1	0.999
ITGA9	ITGA8	0.781
ITGA9	ITGB6	0.794
ITGA9	ITGB3	0.866
ITGA9	TNXB	0.921
ITGA9	ITGB1	0.997
ITGB6	ITGA8	0.882
ITGB6	TNXB	0.906
ITGB6	ITGB3	0.935
ITGB6	ITGB1	0.979
SDC4	TNXB	0.914
SDC4	SDC1	0.947
STK19	CYP21A2	0.844
STK19	TNXB	0.879
ITGA8	ITGB3	0.861
ITGA8	TNXB	0.924
ITGA8	ITGB1	0.998
SDC1	TNXB	0.904
SDC1	ITGB3	0.932
ITGB1	TNXB	0.911
ITGB1	ITGB3	0.987
TNXB	ITGB3	0.913
TNXB	CYP21A2	0.949
TOX3	DENND1A	0.713
TOX3	BRCA1	0.765
TOX3	RAD51B	0.77
TOX3	BRCA2	0.797
TOX3	FGFR2	0.826
TOX3	MAP3K1	0.838
BRCA2	LSP1	0.706
LSP1	RAD51B	0.703
LSP1	MAP3K1	0.761
MAP3K1	BRCA1	0.77
USP28	TP53	0.806
USP28	TP53BP1	0.998
H4C6	PAXIP1	0.752
H4C6	ATM	0.772
H4C6	BRCA1	0.867
H4C6	MDC1	0.913
H4C6	TP53	0.947
H4C6	H2AX	0.998
H4C6	H2AC18	0.999
H4C6	TP53BP1	0.999
TOPBP1	PAXIP1	0.785
TOPBP1	TP53	0.949
TOPBP1	ATM	0.954
TOPBP1	MDC1	0.995
TOPBP1	TP53BP1	0.999
TOPBP1	BRCA1	0.999
TP53	H2AX	0.892
ATM	H2AC18	0.801
ATM	PAXIP1	0.963
ATM	H2AX	0.998
H2AC18	MDC1	0.759
H2AC18	PAXIP1	0.843
H2AC18	BRCA1	0.885
H2AC18	TP53BP1	0.999
MDC1	H2AX	0.999
TP53BP1	PAXIP1	0.999
TP53BP1	H2AX	0.999
PAXIP1	BRCA1	0.836
PAXIP1	H2AX	0.908
BRCA1	H2AX	0.999
GABPB1	TP63	0.9
KRT5	TP53	0.737
KRT5	TP63	0.861
MDM2	CSNK1D	0.708
MDM2	TP63	0.9
MDM2	TP73	0.998
MDM2	EP300	0.999
EP300	SOX2	0.705
EP300	TP63	0.85
EP300	TP73	0.927
EP300	TP53	0.999
TP63	ITCH	0.894
TP63	CSNK1D	0.9
TP63	SOX2	0.93
TP63	PERP	0.93
TP63	TP53	0.953
TP63	TP73	0.997
TP53	ITCH	0.791
TP53	CSNK1D	0.826
TP53	SOX2	0.883
TP53	PERP	0.928
TP53	TP73	0.985
TP73	ITCH	0.905
TRAT1	TRIM26	0.772
TBK1	TRIM26	0.813
PPP1R11	TRIM26	0.716
TRIM26	IRF3	0.741
TRIM56	TRIM38	0.746
TRIM38	TAB2	0.767
BBOX1	TRIM39-RPP21	0.817
BBOX1	TRIM39	0.87
PRKG1	TRIM39	0.725
PRKG1	TRIM39-RPP21	0.823
TRIM39	TRIM39-RPP21	0.806
KRTCAP2	TRIM46	0.708
GBA	TRIM46	0.746
GBA	THBS3	0.752
GBA	MTX1	0.858
TRIM46	MUC1	0.821
TRIM46	MTX1	0.908
TRIM46	THBS3	0.911
MTX1	MUC1	0.72
MTX1	THBS3	0.908
THBS3	MUC1	0.706
TRIP13	TPX2	0.879
TRIP13	MELK	0.906
TRIP13	CYC1	0.912
TRIP13	KIF20A	0.913
TRIP13	SHLD3	0.917
TRIP13	BUB1B	0.928
TRIP13	MAD2L2	0.98
TRIP13	MAD2L1	0.994
TRIP13	CDC20	0.996
TRIP13	MAD2L1BP	0.997
MAD2L2	BUB1B	0.926
MAD2L2	CDC20	0.933
MAD2L2	MAD2L1	0.975
MAD2L2	SHLD3	0.998
BUB1B	MAD2L1BP	0.834
BUB1B	TPX2	0.936
BUB1B	MELK	0.953
BUB1B	KIF20A	0.977
BUB1B	CDC20	0.999
BUB1B	MAD2L1	0.999
MAD2L1	TPX2	0.863
MAD2L1	KIF20A	0.913
MAD2L1	MELK	0.946
MAD2L1	MAD2L1BP	0.996
MAD2L1	CDC20	0.999
MELK	KIF20A	0.929
MELK	TPX2	0.958
MELK	CDC20	0.964
TPX2	CDC20	0.961
TPX2	KIF20A	0.972
CDC20	KIF20A	0.981
CDC20	MAD2L1BP	0.999
PHF5A	TTC33	0.725
CCDC97	TTC33	0.728
TTC33	WDR61	0.731
USH1C	USHBP1	0.926
USHBP1	MMRN2	0.754
USHBP1	BTD	0.812
USHBP1	MCCC2	0.96
MCCC2	BTD	0.814
AARS2	KARS1	0.829
AARS2	LARS1	0.832
AARS2	PARS2	0.886
AARS2	EPRS1	0.898
AARS2	RARS2	0.905
AARS2	AARS1	0.91
AARS2	VARS1	0.915
AARS2	YARS1	0.927
AARS2	VARS2	0.937
AARS2	DARS2	0.955
AARS1	PARS2	0.89
AARS1	DARS2	0.907
AARS1	RARS2	0.911
AARS1	VARS2	0.927
AARS1	VARS1	0.938
AARS1	LARS1	0.968
AARS1	EPRS1	0.976
AARS1	KARS1	0.992
AARS1	YARS1	0.996
KARS1	DARS2	0.807
KARS1	VARS2	0.915
KARS1	PARS2	0.954
KARS1	VARS1	0.978
KARS1	YARS1	0.988
KARS1	RARS2	0.998
KARS1	EPRS1	0.999
KARS1	LARS1	0.999
EPRS1	VARS2	0.928
EPRS1	VARS1	0.97
EPRS1	DARS2	0.971
EPRS1	RARS2	0.999
EPRS1	YARS1	0.999
EPRS1	PARS2	0.999
EPRS1	LARS1	0.999
RARS2	DARS2	0.888
RARS2	VARS2	0.935
RARS2	VARS1	0.943
RARS2	PARS2	0.953
RARS2	YARS1	0.959
RARS2	LARS1	0.99
PARS2	DARS2	0.872
PARS2	VARS2	0.907
PARS2	VARS1	0.912
PARS2	YARS1	0.972
PARS2	LARS1	0.974
YARS1	DARS2	0.898
YARS1	VARS2	0.947
YARS1	VARS1	0.956
YARS1	LARS1	0.98
VARS1	VARS2	0.926
VARS1	DARS2	0.953
VARS1	LARS1	0.968
LARS1	VARS2	0.954
VARS2	DARS2	0.916
RAB6A	VPS13B	0.792
VAMP3	VAMP4	0.701
VAMP3	YKT6	0.852
VAMP3	STX5	0.914
VAMP3	STX8	0.936
VAMP3	STX7	0.981
VAMP3	STX12	0.992
VAMP3	STX10	0.997
VAMP3	VTI1A	0.998
VAMP3	STX16	0.998
VAMP3	STX6	0.999
YKT6	VAMP4	0.89
YKT6	STX12	0.965
YKT6	STX10	0.965
YKT6	STX6	0.984
YKT6	STX8	0.984
YKT6	STX16	0.993
YKT6	VTI1A	0.998
YKT6	STX7	0.999
YKT6	STX5	0.999
VAMP4	STX8	0.977
VAMP4	STX7	0.992
VAMP4	STX10	0.995
VAMP4	STX5	0.998
VAMP4	STX6	0.999
VAMP4	STX12	0.999
VAMP4	VTI1A	0.999
VAMP4	STX16	0.999
STX6	STX10	0.856
STX6	STX8	0.949
STX6	STX5	0.995
STX6	STX7	0.997
STX6	STX12	0.999
STX6	VTI1A	0.999
STX6	STX16	0.999
STX5	STX16	0.9
STX5	STX12	0.918
STX5	STX7	0.948
STX5	STX8	0.95
STX5	STX10	0.973
STX5	VTI1A	0.999
STX8	STX10	0.847
STX8	STX16	0.957
STX8	STX12	0.995
STX8	VTI1A	0.996
STX8	STX7	0.999
STX7	STX16	0.872
STX7	STX12	0.958
STX7	STX10	0.97
STX7	VTI1A	0.996
STX16	STX12	0.964
STX16	VTI1A	0.999
STX16	STX10	0.999
STX12	STX10	0.968
STX12	VTI1A	0.999
VTI1A	STX10	0.999
VWF	ADAMTS13	0.997
VWF	GP6	0.997
VWF	ITGB3	0.998
VWF	GP9	0.998
VWF	FN1	0.998
VWF	GP1BB	0.998
VWF	F8	0.999
VWF	GP1BA	0.999
VWF	SELP	0.999
VWF	ITGA2B	0.999
ITGA2B	GP1BB	0.83
ITGA2B	GP6	0.94
ITGA2B	SELP	0.965
ITGA2B	GP1BA	0.967
ITGA2B	GP9	0.98
ITGA2B	FN1	0.999
ITGA2B	ITGB3	0.999
SELP	GP9	0.77
SELP	FN1	0.778
SELP	GP6	0.908
SELP	ITGB3	0.928
SELP	GP1BA	0.999
GP9	F8	0.786
GP9	GP6	0.86
GP9	ITGB3	0.888
GP9	GP1BB	0.999
GP9	GP1BA	0.999
GP6	ITGB3	0.724
GP6	FN1	0.932
GP6	GP1BA	0.946
GP1BA	FN1	0.841
GP1BA	ITGB3	0.886
GP1BA	F8	0.886
GP1BA	ADAMTS13	0.931
GP1BA	GP1BB	0.999
FN1	F8	0.975
FN1	ITGB3	0.999
F8	GP1BB	0.743
F8	ADAMTS13	0.95
GP1BB	ITGB3	0.714
SLC12A2	WNK1	0.877
SLC12A2	OXSR1	0.901
WNK2	SLC12A3	0.71
WNK2	OXSR1	0.798
WNK2	WNK1	0.969
RETREG1	WNK1	0.889
OXSR1	KCNJ1	0.762
OXSR1	SLC12A1	0.838
OXSR1	SLC12A3	0.875
OXSR1	WNK1	0.901
KLHL3	SLC12A3	0.719
KLHL3	WNK1	0.952
WNK1	SCNN1A	0.832
WNK1	NEDD4L	0.87
WNK1	SLC12A1	0.882
WNK1	KCNJ1	0.936
WNK1	SLC12A3	0.951
SCNN1A	KCNJ1	0.707
SCNN1A	SLC12A3	0.858
SCNN1A	NEDD4L	0.998
KCNJ1	SLC12A3	0.965
KCNJ1	SLC12A1	0.988
SFRP1	FZD3	0.723
SFRP1	FZD9	0.726
SFRP1	FZD5	0.728
SFRP1	FZD4	0.742
SFRP1	FZD8	0.768
SFRP1	FZD6	0.875
SFRP1	WIF1	0.924
SFRP1	FZD2	0.938
SFRP1	WNT4	0.946
FZD3	WNT4	0.987
WIF1	WNT4	0.971
WNT4	FZD8	0.958
WNT4	FZD9	0.958
WNT4	FZD5	0.959
WNT4	PORCN	0.959
WNT4	FZD4	0.969
WNT4	FZD2	0.974
WNT4	FZD6	0.983
FZD2	FZD8	0.704
FZD2	FZD5	0.705
FZD6	FZD5	0.726
PF4V1	CCL5	0.929
PF4V1	PF4	0.965
PF4V1	CCL21	0.995
PF4V1	XCL2	0.995
PF4V1	XCL1	0.995
CCL21	CCL20	0.728
CCL21	CXCL3	0.783
CCL21	XCR1	0.806
CCL21	CXCL5	0.851
CCL21	XCL2	0.997
CCL21	PF4	0.998
CCL21	XCL1	0.998
CXCL3	XCR1	0.725
CXCL3	CCL5	0.811
CXCL3	CCL20	0.951
CXCL3	XCL2	0.995
CXCL3	CXCL5	0.999
CXCL5	CCL7	0.728
CXCL5	XCR1	0.807
CXCL5	CCL5	0.924
CXCL5	XCL2	0.995
CXCL5	CCL20	0.999
PF4	XCR1	0.716
PF4	XCL2	0.995
PF4	XCL1	0.996
PF4	CCL20	0.998
PF4	CCL5	0.999
XCR1	CCL20	0.772
XCR1	CCL7	0.84
XCR1	CCL5	0.921
XCR1	XCL2	0.999
XCR1	XCL1	0.999
CCL20	CCL7	0.814
CCL20	XCL2	0.995
CCL20	CCL5	0.999
XCL1	XCL2	0.995
XCL1	CCL5	0.996
XCL2	CCL7	0.995
XCL2	CCL5	0.996
RBMY1J	PRR3	0.744
BATF3	ZBTB46	0.724
BATF3	XCR1	0.775
XCR1	ZBTB46	0.711
ITGB4	ZKSCAN3	0.83
ZNF232	ZKSCAN3	0.768
ZNF232	ZNF24	0.782
PGBD1	ZNF397	0.785
ZNF397	ZNF24	0.81
ZNF397	ZKSCAN3	0.84
ZNF444	ZKSCAN3	0.748
ZNF444	ZNF24	0.797
ZMIZ1	SUMO2	0.701
ZMIZ1	NOTCH1	0.752
ZMIZ1	SUMO1	0.759
ZMIZ1	AR	0.802
AR	SUMO1	0.747
SUMO1	SUMO2	0.994
SMAD3	ZNF165	0.725
ZSCAN23	ZSCAN21	0.759
ZSCAN23	ZSCAN20	0.791
ZSCAN23	ZSCAN32	0.824
ZSCAN21	ZSCAN20	0.783
ZSCAN21	ZSCAN32	0.861
